section,record,question,current_evidence,options,recommended_option,reason,owner_required
TENANT,comp_1777895277336,Confirm scope and target tenant identity/action.,HD Co.Ltd; 2713 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1777898639926,Confirm scope and target tenant identity/action.,Cong Ty Test Cai Dat; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1777898664738,Confirm scope and target tenant identity/action.,Cong Ty Test Cai Dat; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1777898718439,Confirm scope and target tenant identity/action.,Cong Ty Test Cai Dat; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1777898746839,Confirm scope and target tenant identity/action.,Cong Ty Test Cai Dat; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1777898955908,Confirm scope and target tenant identity/action.,Cong Ty Test Cai Dat; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1777898983895,Confirm scope and target tenant identity/action.,Cong Ty Test Cai Dat; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1778394928401,Confirm scope and target tenant identity/action.,Ospuuq; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1780202063417,Confirm scope and target tenant identity/action.,Doanh Thu Hàng Tháng ; 2 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_1b68c5f1-7fbd-43d8-8a19-c9d8d3eee5e0,Confirm scope and target tenant identity/action.,Test Company; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
TENANT,comp_b2b1e1f0-668a-4209-9829-5779c50105d4,Confirm scope and target tenant identity/action.,Demo; 0 source records; no target tenant ID/name,KEEP_EXISTING | CREATE_TARGET | OWNER_REVIEW,OWNER_REVIEW,Target tenant identity is absent; source company ID/name cannot be used as a target identity.,YES
