domain,source_id,source_name,source_tenant_id,owner_decision,applied_status,evidence_type,proposed_value,target_identity,target_action,affected_record_count,notes
TENANT,comp_1777895277336,HD Co.Ltd,comp_1777895277336,REAL_COMPANY,OWNER_CONFIRMED_SCOPE,FACT(source) + OWNER_CONFIRMED,PRODUCTION_COMPANY_TENANT,OWNER_REQUIRED,MAP_AFTER_TARGET_ID_SUPPLIED,2713,Owner scope decision applied conceptually; target UUID/code not supplied.
TENANT,comp_1777898639926,Cong Ty Test Cai Dat,comp_1777898639926,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1777898664738,Cong Ty Test Cai Dat,comp_1777898664738,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1777898718439,Cong Ty Test Cai Dat,comp_1777898718439,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1777898746839,Cong Ty Test Cai Dat,comp_1777898746839,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1777898955908,Cong Ty Test Cai Dat,comp_1777898955908,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1777898983895,Cong Ty Test Cai Dat,comp_1777898983895,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1778394928401,Ospuuq,comp_1778394928401,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1780202063417,Doanh Thu Hàng Tháng ,comp_1780202063417,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,2,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_1b68c5f1-7fbd-43d8-8a19-c9d8d3eee5e0,Test Company,comp_1b68c5f1-7fbd-43d8-8a19-c9d8d3eee5e0,UNKNOWN,OWNER_REVIEW,FACT(source) + OWNER_REVIEW,REVIEW,OWNER_REQUIRED,KEEP_REVIEW,0,Owner instructed to keep unidentified historical source companies in REVIEW; no merge.
TENANT,comp_b2b1e1f0-668a-4209-9829-5779c50105d4,Demo,comp_b2b1e1f0-668a-4209-9829-5779c50105d4,DEMO,OWNER_CONFIRMED_SCOPE,FACT(source) + OWNER_CONFIRMED,DEMO_TENANT,OWNER_REQUIRED,MAP_AFTER_TARGET_ID_SUPPLIED,0,Owner scope decision applied conceptually; target UUID/code not supplied.
WAREHOUSE,NOT_FOUND,Kho sản phẩm,comp_1777895277336,SINGLE_BUSINESS_WAREHOUSE,OWNER_APPROVED_CANDIDATE,OWNER_CONFIRMED + FACT(source master absent),Kho sản phẩm,OWNER_REQUIRED,RECONCILE_RECORDS_BEFORE_MIGRATION,2679,Owner confirmed the real business warehouse. No source warehouse identity/UUID was synthesized; all 2679 records remain unresolved for deterministic record-level crosswalk.
UOM,Bao,Bao,comp_1777895277336,TARGET_UOM_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_AFTER_TARGET_UOM_ID_SUPPLIED,3,Target UOM identity/type/tenant scope still required for this source label.
UOM,Bộ,Bộ,comp_1777895277336,TARGET_UOM_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_AFTER_TARGET_UOM_ID_SUPPLIED,48,Target UOM identity/type/tenant scope still required for this source label.
UOM,Cái,Cái,comp_1777895277336,TARGET_UOM_REVIEW,OWNER_REVIEW,OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED,MAP_AFTER_TARGET_UOM_ID_SUPPLIED,133,Target UOM identity/type/tenant scope still required for this source label.
