decision_group,decision_type,source_scope,source_id,current_evidence,owner_input_required,blocking_gate,owner
A_TENANT,TARGET_TENANT_MAPPING,SOURCE_COMPANY,comp_1777895277336,HD Co.Ltd; products=34; warehouse_records=2679,Provide target Company UUID and code; confirm in-scope status,TENANT_MAPPING,OWNER
A_TENANT,TARGET_TENANT_MAPPING,SOURCE_COMPANY,comp_1780202063417,Doanh Thu Hàng Tháng ; products=2; warehouse_records=0,Provide target Company UUID and code; confirm in-scope status,TENANT_MAPPING,OWNER
B_WAREHOUSE,WAREHOUSE_MASTER_AND_MAPPING,WAREHOUSE_SOURCE,NOT_FOUND,Current snapshot contains 2679 warehouse operational records with companyId but no warehouse identity fields; no warehouse master file present,Provide official warehouse master and deterministic source-record-to-warehouse mapping; do not create from this artifact,WAREHOUSE_MAPPING,OWNER/KHO
C_UOM,TARGET_UOM_MASTER_MAPPING,UOM_SOURCE,Bao; Bộ; Cái; Chuyến; Con; Kg,Observed labels are source field values only; target UOM rows/IDs were not queried,Provide approved target UOM code/UUID and tenant scope for each observed label,UOM_READY,OWNER/KHO
E_PRODUCT_UOM,PRODUCT_UOM_TARGET_ROLES,PRODUCT_UOM,ALL_36_PRODUCTS,"Policy semantics are known for approved poultry/by-product cases, but target UOM IDs and ProductUnit role rows are not mapped",Confirm target base/purchase/sales/inventory UOM IDs; provide conversion only where explicitly approved,PRODUCT_UOM_READY,OWNER/KHO
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104073246,Gà Sống; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104101173,Gà Móc; source tenant=comp_1777895277336; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104118174,Gà Không Móc; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104146701,Gà Móc Sạch; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104170597,Gà Móc Sạch Cắt Chân; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104205565,Vịt Sống; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104224062,Vịt Không Móc; source tenant=comp_1777895277336; source UOM=Kg/Kg,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104241550,Vịt Móc; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104268878,Vịt Móc Sạch; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104293541,Vịt Móc Sạch Cắt Chân; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104313397,Vịt Bọng; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104330830,Cánh Gà; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104342214,Đùi Gà; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104360773,Đùi Tỏi; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
D_PRODUCT_TARGET,TARGET_PRODUCT_MAPPING,PRODUCT,prod_1779104371789,Ức Gà; source tenant=comp_1777895277336; source UOM=Kg/Cái,Provide approved target tenant and target product action/ID; no source-to-target inference,TARGET_MAPPING_READY,OWNER
